movie_id,person_id,credit_id,character_name,cast_order,cast_id
69695,87697,52fe47d6c3a368484e0dc45d,Ellery Queen,0,6
69695,20365,52fe47d6c3a368484e0dc461,Nikki Porter,1,7
69695,8517,52fe47d6c3a368484e0dc465,Inspector Richard Queen,2,8
69695,25173,52fe47d6c3a368484e0dc469,Mrs. Van Dorn,3,9
69695,29273,52fe47d6c3a368484e0dc46d,Paul Gilette,4,10
69695,2497,52fe47d6c3a368484e0dc471,"Heinrich, Spy Leader",5,11
69695,14453,52fe47d6c3a368484e0dc475,Police Sergeant Velie,6,12
36056,115155,52fe45c99251416c9103e6bd,'One Round' Jack Sander,0,2
36056,114807,52fe45c99251416c9103e6c5,Mabel,1,5
36056,8731,52fe45c99251416c9103e6c1,Bob Corby,2,4
36056,3371,52fe45c99251416c9103e6e1,The Promoter,3,10
36056,553228,52fe45c99251416c9103e6e5,The Showman,4,11
36056,114808,52fe45c99251416c9103e6e9,Jack's Trainer,5,12
36056,37870,5a11a0dc92514138f3052b53,Fortune Teller (uncredited),6,14
36056,5731,5a11a17ac3a3686280056484,Spectator (uncredited),7,16
36056,2636,5a11a107c3a368628605436d,Man-Dipping Attraction Worker (uncredited),8,15
41289,26756,52fe45c1c3a36847f80d89ab,Masahiko Kai,0,55
41289,20519,52fe45c1c3a36847f80d890b,Ryu Tenmei,1,13
41289,240161,59121a8a9251414edb048ab5,Suzie Wong,2,57
41289,64234,59121adf9251414e8d045f5f,Milly McKenzie,3,58
41289,58123,52fe45c1c3a36847f80d8917,Chong Lee,4,16
41289,126045,52fe45c1c3a36847f80d891b,Hyuga Ryoichi,5,17
41289,126037,52fe45c1c3a36847f80d891f,Jack O'Brien,6,18
41289,147796,59121b309251414e8d045fa1,Gang Leader,7,59
41289,126047,52fe45c1c3a36847f80d8927,Hank Chow,8,21
41289,126048,52fe45c1c3a36847f80d892b,Lin Keisei,9,22
41289,126050,52fe45c1c3a36847f80d8933,Girl of The Stall,10,24
41289,126044,52fe45c1c3a36847f80d8913,Milly McKenzie,11,15
41289,1178818,698690374c51ca7c316df169,Manager of The Cheap Restaurant,12,63
41289,126052,52fe45c1c3a36847f80d893b,Street Gang #1,13,26
41289,126053,52fe45c1c3a36847f80d893f,Street Gang #2,14,27
41289,126054,52fe45c1c3a36847f80d8943,Street Gang #3,15,28
41289,126055,52fe45c1c3a36847f80d8947,Street Gang #4,16,29
41289,126056,52fe45c1c3a36847f80d894b,Free Fighting Players #1,17,30
41289,126040,52fe45c1c3a36847f80d894f,Free Fighting Players #2,18,31
41289,126057,52fe45c1c3a36847f80d8953,Free Fighting Players #3,19,32
41289,126058,52fe45c1c3a36847f80d8957,Free Fighting Players #4,20,33
41289,126059,52fe45c1c3a36847f80d895b,Free Fighting Players #5,21,34
41289,126060,52fe45c1c3a36847f80d895f,Free Fighting Players #6,22,35
41289,126061,52fe45c1c3a36847f80d8963,Free Fighting Players #7,23,36
41289,126062,52fe45c1c3a36847f80d8967,Free Fighting Players #8,24,37
41289,126063,52fe45c1c3a36847f80d896b,Free Fighting Players #9,25,38
41289,126064,52fe45c1c3a36847f80d896f,Judge of The Free Fighting,26,39
41289,126065,52fe45c1c3a36847f80d8973,Judge of The Free Fighting,27,40
41289,126066,52fe45c1c3a36847f80d8977,Girlfriend of Chong Lee,28,41
41289,126067,52fe45c1c3a36847f80d897b,Cameraman #1,29,42
